,Year of Release,Game Title,Game Price,Score,Votes,Genre
144,2013,Sinking Simulator,0.99,7.51,3574,Simulation
145,2013,The Journey Down: Chapter One,6.99,7.51,1241,Adventure
146,2013,Shelter,14.99,7.47,3574,Adventure
147,2013,Nancy Drew®: The Silent Spy,19.99,7.46,110,Adventure
148,2013,Go Home Dinosaurs!,9.99,7.46,526,Tower Defense
149,2013,Sniper Elite: Nazi Zombie Army 2,14.99,7.46,4006,Zombies
150,2014,The Binding of Isaac: Rebirth,14.99,8.73,237490,Action Roguelike
151,2014,South Park™: The Stick of Truth™,7.49,8.62,55593,RPG
152,2014,BattleBlock Theater®,14.99,8.61,67670,Co-op
153,2014,The Room,4.99,8.56,23385,Puzzle
154,2014,One Finger Death Punch,4.99,8.54,16066,Action
155,2014,METAL GEAR RISING: REVENGEANCE,14.99,8.5,65450,Great Soundtrack
156,2014,The Expendabros,0.0,8.49,17792,Action
157,2014,Everlasting Summer,0.0,8.47,65734,Visual Novel
158,2014,Kingdom Rush - Tower Defense,9.99,8.44,11194,Tower Defense
159,2014,The Talos Principle,4.49,8.41,26518,Puzzle
160,2014,Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™,14.99,8.4,22875,Atmospheric
161,2014,Geometry Dash,3.99,8.39,234893,Difficult
162,2014,NEKOPARA Vol. 1,9.99,8.39,26181,Anime
163,2014,LISA: The Painful,9.99,8.39,12984,Dark Humor
164,2014,Shovel Knight: Treasure Trove,39.99,8.39,14859,Platformer
165,2014,Hexcells,2.99,8.34,5179,Puzzle
166,2014,Hexcells Infinite,4.99,8.32,3826,Puzzle
167,2014,Princess Remedy in a World of Hurt,0.0,8.32,2765,Female Protagonist
168,2014,Transistor,19.99,8.32,29289,Great Soundtrack
169,2014,LYNE,2.99,8.31,8024,Puzzle
170,2014,This War of Mine,19.99,8.3,91930,Survival
171,2014,Creeper World 3: Arc Eternal,14.99,8.29,4278,Tower Defense
172,2014,Mount Your Friends,4.99,8.26,7656,Funny
173,2014,Epic Battle Fantasy 4,14.99,8.26,2867,JRPG
174,2014,Alien: Isolation,39.99,8.26,51070,Horror
175,2014,Assetto Corsa,19.99,8.25,93824,Racing
176,2014,Bloons TD 5,9.99,8.25,10227,Tower Defense
177,2014,Resident Evil 4 (2005),4.99,8.25,63036,Inventory Management
178,2014,Rise of Nations: Extended Edition,4.99,8.24,12422,Strategy
179,2014,Sleeping Dogs: Definitive Edition,19.99,8.24,52876,Open World
180,2014,Middle-earth™: Shadow of Mordor™,9.99,8.24,79619,Open World
181,2014,Floating Point,0.0,8.24,3733,Relaxing
182,2014,Door Kickers,19.99,8.23,9329,Tactical
183,2014,Insurgency,14.99,8.23,124640,FPS
184,2014,Five Nights at Freddy's 2,7.99,8.22,16734,Horror
185,2014,Freedom Planet,14.99,8.21,4460,Platformer
186,2014,Choice of Robots,6.99,8.2,1948,Choose Your Own Adventure
187,2014,Five Nights at Freddy's,4.99,8.19,37093,Horror
188,2014,Age of Mythology: Extended Edition,7.49,8.18,29449,Strategy
189,2014,Life Goes On: Done to Death,12.99,8.18,2344,Funny
190,2014,Blackwell Epiphany,9.99,8.17,805,Adventure
191,2014,Lethal League,13.99,8.16,5992,Fighting
192,2014,Octodad: Dadliest Catch,14.99,8.16,9115,Comedy
193,2014,Hatoful Boyfriend,9.99,8.15,6947,Visual Novel
194,2014,Hidden in Plain Sight,5.99,8.14,475,Casual
195,2014,TowerFall Ascension,14.99,8.13,3088,Local Multiplayer
196,2014,A Story About My Uncle,14.99,8.13,28228,Adventure
197,2014,Double Action: Boogaloo,0.0,8.13,11205,Action
198,2014,Grim Legends: The Forsaken Bride,9.99,8.13,1452,Hidden Object
199,2014,One Way Heroics,3.49,8.12,3924,Side Scroller
200,2014,The Legend of Heroes: Trails in the Sky,9.99,8.12,7463,JRPG
201,2014,Amazing Frog?,15.99,8.11,8461,Funny
202,2014,Wolfenstein: The New Order,19.99,8.11,48945,FPS
